07 10 1926, 23 00 2001
31 07 1893, 06 00 1933
24 10 1987, 01 09 1959
05 11 1983, 06 04 1955
06 05 1999, 31 11 1953
23 10 1967, 23 12 1943
31 04 1990, 23 04 2000
24 08 1953, 04 08 2009
11 10 1907, 18 07 1975
26 11 1959, 06 08 1895
13 10 1895, 28 13 2008
13 01 2006, 30 08 1910
16 03 1970, 01 12 2020
07 02 1983, 21 12 1905
12 05 1999, 02 10 1996
10 02 1917, 12 10 1986
04 13 2011, 16 03 1928
21 05 1933,
29 09 1974, 08 11 1971
32 13 1991, 21 00 1984
31 08 1932, 18 07 1986
17 12 1971, 09 07 1899
18 04 1923, 29 00 1953
04 13 1924, 03 02 1972
11 02 2015, 24 02 1991
02 04 1972, 06 12 1920
16 08 1909, 24 09 1965

this will fail

11 02 2012, 31 07 1901
26 11 1989, 07 09 1933
04 01 2005, 20 03 1924
05 09 2004, 11 13 1947
26 05 1895, 14 02 1986
02 12 1903, 12 11 1894
05 13 1962, 05 02 2013
27 05 1895, 12 05 2005
22 04 1908, 24 08 1917
07 08 1899, 02 05 2004
11 00 1915, 10 03 1957
31 10 1966,
12 00 2016, 02 02 1915
12 11 1907, 21 08 1926
03 07 1942, 10 12 2008
22 08 1936, 28 06 1971
17 11 2004, 27 05 1978
01 09 1989, 16 04 1924
29 13 2007, 14 01 1987
11 06 1915, 22 10 1973
02 02 2010, 23 11 1995
31 08 2015, 19 05 1959

30 08 1914, 19 06 1906
20 09 1943, 30 01 1916
05 00 1959, 31 01 1960
28 11 1925, 04 05 1930
10 11 2008, 30 07 1965
21 02 1989, 19 10 1902
19 09 1958,
24 08 1905, 20 13 1939
30 09 1976, 29 07 1940
30 10 1961, 04 11 1900
03 00 1949, 02 06 1961
26 03 1975, 03 10 2012
22 05 1891, 05 11 1917
03 05 1996, 26 06 1982
30 00 2003, 31 06 1902
21 12 1930, 10 06 1953
31 01 1920, 07 05 1898
21 02 1977, 17 09 1947
01 04 1955, 17 00 2016
10 04 1944, 23 12 2019
13 01 1973, 05 06 1904
22 12 1941, 02 07 1908
02 01 1939, 05 03 2007

20 06 1966, 16 09 1925
18 12 1930, 06 07 1943
10 12 2010, 21 09 1975
30 09 1965, 23 13 2011
20 02 1935, 24 05 1971
28 06 1961, 15 03 1999
20 13 1937, 03 00 2008
00 00 1948, 31 12 1969
24 04 1975, 27 07 1993
12 03 1970, 09 03 1990
10 04 1912, 08 11 1899
08 08 1895, 23 02 1992
16 09 1999, 21 10 2003
09 12 1995, 21 10 1981
23 00 1900, 28 10 1912
22 13 1948, 11 02 2009
09 02 1957, 20 05 1945
05 02 1985, 06 13 1996
24 00 1986, 29 00 1990
, 31 12 2014
14 07 1984, 18 06 1910
25 00 1891, 21 08 1994
15 05 1937, 17 09 1980
01 05 1925,
18 08 1934, 31 10 1946
00 01 1967, 12 12 1989
31 12 1927, 18 03 1890
19 03 1936, 17 07 1945
13 02 1976, 01 06 1899
03 07 2020, 23 08 1930
32 02 1898, 22 07 1932
19 08 1929, 17 07 1929
,
21 09 1929, 18 01 1978
24 00 1909, 10 08 1964
30 12 1911, 21 05 1992
17 02 1954, 27 06 1902
04 07 1995, 30 06 1940
08 10 1904, 18 10 1998
07 12 1931, 10 07 2009
22 06 1958, 14 00 1921
19 11 1961, 24 12 1906
, 09 00 1965
02 03 2007, 31 11 1916
05 10 1978, 28 09 1929
26 00 1924, 30 13 1894
23 09 1969, 23 09 1970
05 00 1979, 13 12 1962
21 08 1900, 30 09 1959
11 05 1921, 19 08 1890
01 02 1987, 21 13 1962
32 02 1890, 03 02 1907
07 08 2009, 21 01 1980


05 09 1903, 04 03 1963
20 00 1971, 31 03 2000
14 06 1959, 15 09 1900
20 05 1921, 11 08 2005
00 02 1943, 22 11 1923
18 01 1899, 19 04 1958
07 01 1987, 01 09 1940
27 02 1935, 22 06 1991
02 04 1969, 24 02 1932
12 08 1899, 16 06 2011
12 13 1987,
26 04 2020, 22 05 1936
, 26 05 1995
02 05 2015, 11 04 2016
12 04 2015, 28 01 1890
, 06 07 1999
05 05 2014, 13 09 1978
06 13 1903, 32 00 1890
09 04 1895, 12 00 1995
26 07 1946, 08 01 1891
12 00 1986,
28 13 1917, 30 12 1973
20 09 1967, 02 00 1902
16 05 2015, 12 01 1947
15 10 2000, 11 01 1987
05 01 1973, 00 01 1998
23 01 2012, 31 02 1927
23 06 1998, 05 07 1894
30 05 2008, 14 12 1893
00 13 1997, 06 09 1957
32 02 2012, 02 07 1963
01 09 1932, 20 12 1987
06 08 1911, 08 12 1991
24 07 2001, 14 09 1978
19 02 1923, 05 12 1976
03 09 1910, 06 13 1977
08 00 1929, 21 08 1922

29 06 1974, 26 13 1925
16 07 2001, 10 13 2001
32 00 1955, 10 10 1972
17 03 1998, 16 05 1933
11 11 1903, 01 04 1972
16 00 1988, 24 12 1906
07 11 1930, 13 11 1984
28 02 1922, 10 09 1995
18 12 1913, 12 12 1925
05 01 1969, 15 03 2010
04 09 1973, 21 04 1998

13 08 1946, 00 05 2000
20 08 1929, 11 13 1949

10 02 1949, 23 10 1922
13 00 1989, 14 00 2012
, 17 12 1891
, 26 05 1988
05 09 1907, 30 04 2011
09 07 1901, 03 06 1961
20 02 1995, 26 05 2016
21 09 1954, 14 02 1997
14 12 1986,
20 08 2014, 24 09 1892
07 03 1933, 02 01 2009
10 07 1995, 26 01 1920
09 01 1968, 31 07 1897
19 00 1944, 04 00 1941
09 05 1955, 29 03 1892
06 13 1979, 17 13 1905
17 00 1935, 21 10 2020
